Program Name,Volunteer Count,Volunteer Hours,Departmental Savings,Date
Active & Aging - Dunbar Community Center,4,0,0,09/30/2020
Active & Aging - East LR Community Center,10,0,0,09/30/2020
Active & Aging - SW Community Center,29,0,0,09/30/2020
Adopt-A-Flowerbed - Allsopp,1,8,163.92,09/30/2020
Adopt-A-Flowerbed - Butler,1,0,0,09/30/2020
Adopt-A-Flowerbed - Contemplation Garden,1,12.5,256.125,09/30/2020
Adopt-A-Flowerbed - Curran Hall,1,26.5,542.985,09/30/2020
Adopt-A-Flowerbed - Historic AR Museum,1,59.25,"1,214.0325",09/30/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,2.25,46.1025,09/30/2020
Adopt-A-Flowerbed - WM Gateway,1,0,0,09/30/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,09/30/2020
Adopt-A-Park - Allsopp,1,1,20.49,09/30/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,5,102.45,09/30/2020
Adopt-A-Park - Allsopp (Walnut St.),1,3.25,66.5925,09/30/2020
Adopt-A-Park - Allsopp Moss Garden,1,120,"2,458.8",09/30/2020
Adopt-A-Park - Allsopp North,1,0,0,09/30/2020
Adopt-A-Park - Allsopp Promenade,1,2,40.98,09/30/2020
Adopt-A-Park - Benny Craig,1,0,0,09/30/2020
Adopt-A-Park - Butler,1,7,143.43,09/30/2020
Adopt-A-Park - Kanis,1,0,0,09/30/2020
Adopt-A-Park - Knoop,3,26,532.74,09/30/2020
Adopt-A-Park - Moorehart,1,0,0,09/30/2020
Adopt-A-Park - Reservoir,1,0,0,09/30/2020
Adopt-A-Park - Two Rivers,1,4,81.96,09/30/2020
Adopt-A-Park - Wakefield Park,1,0,0,09/30/2020
Adopt-A-Park - Western Hills,9,648,"13,277.52",09/30/2020
Adopt-A-Park- Boyle,1,22,450.78,09/30/2020
Adopt-A-Park-War Memorial,1,0,0,09/30/2020
Adopt-A-Trail - Allsopp Park,1,16,327.84,09/30/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,09/30/2020
Adopt-A-Trail - Conner park,1,0,0,09/30/2020
Adopt-A-Trail - Reservoir,1,0,0,09/30/2020
Adopt-A-Trail - Rock Creek,1,0,0,09/30/2020
Department of Corrections - Wrightsville Unit,1,0,0,09/30/2020
Dunbar Community Center,9,0,0,09/30/2020
Dunbar Community Garden,1,0,0,09/30/2020
Eagle Scout,0,0,0,09/30/2020
First Tee Golf Course,14,131,"2,684.19",09/30/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,09/30/2020
Landscape Division,2,0,0,09/30/2020
Little Rock Marathon,1,60,"1,229.4",09/30/2020
Little Rock Marathon - Creep and Crawl,1,20,409.8,09/30/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,09/30/2020
MacArthur Commissioners,35,22,450.78,09/30/2020
MacArthur Museum of Arkansas Military History,0,0,0,09/30/2020
MacPark Group,18,24,491.76,09/30/2020
Murray Dog Park,2,0,0,09/30/2020
National Public Lands Day at Morehart Park,20,76,"1,557.24",09/30/2020
Park Commissioners,11,10,204.9,09/30/2020
Park or Trail Clean-up,29,157,"3,216.93",09/30/2020
Rebsamen Golf Course,12,432,"8,851.68",09/30/2020
Southwest Community Center,17,0,0,09/30/2020
Stephens Community Center,15,0,0,09/30/2020
The Centre at University Park,1,0,0,09/30/2020
Therapeutic Recreation,1,0,0,09/30/2020
Volunteer Park Ranger,17,181.25,"3,713.8125",09/30/2020
West Central Community Center,0,0,0,09/30/2020
Active & Aging - Dunbar Community Center,4,0,0,10/31/2020
Active & Aging - East LR Community Center,10,0,0,10/31/2020
Active & Aging - SW Community Center,29,0,0,10/31/2020
Adopt-A-Flowerbed - Allsopp,1,2,40.98,10/31/2020
Adopt-A-Flowerbed - Butler,1,0,0,10/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,23.25,476.3925,10/31/2020
Adopt-A-Flowerbed - Curran Hall,1,123.25,"2,525.3925",10/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,85.25,"1,746.7725",10/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,0,0,10/31/2020
Adopt-A-Flowerbed - Rebsamen Tennis Center,1,0,0,10/31/2020
Adopt-A-Flowerbed - WM Gateway,1,41,840.09,10/31/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,10/31/2020
Adopt-A-Park - Allsopp,1,0,0,10/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,0,0,10/31/2020
Adopt-A-Park - Allsopp (Walnut St.),1,2,40.98,10/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,10/31/2020
Adopt-A-Park - Allsopp North,1,0,0,10/31/2020
Adopt-A-Park - Allsopp Promenade,1,0,0,10/31/2020
Adopt-A-Park - Benny Craig,1,0,0,10/31/2020
Adopt-A-Park - Butler,1,0,0,10/31/2020
Adopt-A-Park - Kanis,1,2,40.98,10/31/2020
Adopt-A-Park - Knoop,3,15,307.35,10/31/2020
Adopt-A-Park - Moorehart,1,0,0,10/31/2020
Adopt-A-Park - Reservoir,1,8,163.92,10/31/2020
Adopt-A-Park - Two Rivers,1,2,40.98,10/31/2020
Adopt-A-Park - Wakefield Park,1,0,0,10/31/2020
Adopt-A-Park - Western Hills,9,514,"10,531.86",10/31/2020
Adopt-A-Park- Boyle,1,0,0,10/31/2020
Adopt-A-Park-War Memorial,1,0,0,10/31/2020
Adopt-A-Trail - Allsopp Park,1,12,245.88,10/31/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,10/31/2020
Adopt-A-Trail - Conner park,1,0,0,10/31/2020
Adopt-A-Trail - Reservoir,1,0,0,10/31/2020
Adopt-A-Trail - Rock Creek,1,0,0,10/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,10/31/2020
Dunbar Community Center,9,0,0,10/31/2020
Dunbar Community Garden,1,0,0,10/31/2020
Eagle Scout,0,0,0,10/31/2020
First Tee Golf Course,14,0,0,10/31/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,10/31/2020
Landscape Division,2,0,0,10/31/2020
Little Rock Marathon,1,52,"1,065.48",10/31/2020
Little Rock Marathon - Creep and Crawl,1,505,"10,347.45",10/31/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,10/31/2020
MacArthur Commissioners,35,20,409.8,10/31/2020
MacArthur Museum of Arkansas Military History,0,0,0,10/31/2020
MacPark Group,18,28,573.72,10/31/2020
Murray Dog Park,2,0,0,10/31/2020
Adopt-A-Park - Allsopp North,1,0,0,07/31/2020
Adopt-A-Park - Allsopp Promenade,1,1.5,30.735,07/31/2020
Adopt-A-Park - Benny Craig,1,0,0,07/31/2020
Adopt-A-Park - Boyle,1,0,0,07/31/2020
Adopt-A-Park - Butler,1,0,0,07/31/2020
Adopt-A-Park - Knoop,3,12,245.88,07/31/2020
Adopt-A-Park - Moorehart,1,0,0,07/31/2020
Adopt-A-Park - Reservoir,1,4,81.96,07/31/2020
Adopt-A-Park - Two Rivers,1,5,102.45,07/31/2020
Adopt-A-Park - Wakefield Park,1,0,0,07/31/2020
Adopt-A-Park - Western Hills,9,621,"12,724.29",07/31/2020
Adopt-A-Park -War Memorial,1,0,0,07/31/2020
Adopt-A-Trail - Allsopp Park,1,3,61.47,07/31/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,07/31/2020
Adopt-A-Trail - Conner park,1,4,81.96,07/31/2020
Adopt-A-Trail - Reservoir,1,2.5,51.225,07/31/2020
Adopt-A-Trail - Rock Creek,1,0,0,07/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,07/31/2020
Dunbar Community Center,9,0,0,07/31/2020
Dunbar Community Garden,1,0,0,07/31/2020
Eagle Scout,0,0,0,07/31/2020
First Tee Golf Course,14,226,"4,630.74",07/31/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,07/31/2020
Landscape Division,2,0,0,07/31/2020
Little Rock Marathon,1,0,0,07/31/2020
Little Rock Marathon - Creep and Crawl,1,0,0,07/31/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,07/31/2020
MacArthur Commissioners,35,88,"1,803.12",07/31/2020
MacPark Group,18,23,471.27,07/31/2020
Murray Dog Park,2,0,0,07/31/2020
Park Commissioners,11,0,0,07/31/2020
Park or Trail Clean-up,27,5.5,112.695,07/31/2020
Rebsamen Golf Course,11,330.25,"6,766.8225",07/31/2020
Southwest Community Center,17,0,0,07/31/2020
Stephens Community Center,15,0,0,07/31/2020
The Centre at University Park,1,0,0,07/31/2020
Therapeutic Recreation,1,0,0,07/31/2020
Volunteer Park Ranger,15,209.75,"4,297.7775",07/31/2020
National Public Lands Day at Morehart Park,20,0,0,10/31/2020
Park Commissioners,11,0,0,10/31/2020
Park or Trail Clean-up,30,413.25,"8,467.4925",10/31/2020
Rebsamen Golf Course,12,170.75,"3,498.6675",10/31/2020
Southwest Community Center,17,0,0,10/31/2020
Stephens Community Center,15,0,0,10/31/2020
The Centre at University Park,1,0,0,10/31/2020
Therapeutic Recreation,1,0,0,10/31/2020
Volunteer Park Ranger,16,188.75,"3,867.4875",10/31/2020
West Central Community Center,0,0,0,10/31/2020
Active & Aging - Dunbar Community Center,4,0,0,06/30/2020
Active & Aging - East LR Community Center,10,0,0,06/30/2020
Active & Aging - SW Community Center,29,0,0,06/30/2020
Adopt-A-Flowerbed - Allsopp,1,9,184.41,06/30/2020
Adopt-A-Flowerbed - Butler,1,0,0,06/30/2020
Adopt-A-Flowerbed - Contemplation Garden,1,71.75,"1,470.1575",06/30/2020
Adopt-A-Flowerbed - Curran Hall,1,138.75,"2,842.9875",06/30/2020
Adopt-A-Flowerbed - Historic AR Museum,1,129.75,"2,658.5775",06/30/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,6,122.94,06/30/2020
Adopt-A-Flowerbed - WM Gateway,1,20.25,414.9225,06/30/2020
Adopt-A-Flowerbed- Rose Creek Plaza,7,17.5,358.58,06/30/2020
Adopt-A-Park - Allsopp,1,1,20.49,06/30/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,3,61.47,06/30/2020
Adopt-A-Park - Allsopp (Walnut St.),1,8,163.92,06/30/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,06/30/2020
Adopt-A-Park - Allsopp North,1,0,0,06/30/2020
Adopt-A-Park - Allsopp Promenade,1,18.5,379.065,06/30/2020
Adopt-A-Park - Butler,1,15,307.35,06/30/2020
Adopt-A-Park - Knoop,1,3,61.47,06/30/2020
Adopt-A-Park - Moorehart,1,0,0,06/30/2020
Adopt-A-Park - Reservoir,1,4,81.96,06/30/2020
Adopt-A-Park - Two Rivers,1,1,20.49,06/30/2020
Adopt-A-Park - Wakefield Park,1,0,0,06/30/2020
Adopt-A-Park - Western Hills,9,720,"14,752.8",06/30/2020
Adopt-A-Park-War Memorial,1,0,0,06/30/2020
Adopt-A-Trail - Allsopp Park,1,16,327.84,06/30/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,06/30/2020
Adopt-A-Trail - Rock Creek,1,0,0,06/30/2020
Department of Corrections - Wrightsville Unit,1,0,0,06/30/2020
Dunbar Community Center,9,0,0,06/30/2020
Dunbar Community Garden,1,0,0,06/30/2020
Eagle Scout,0,0,0,06/30/2020
Active & Aging - Dunbar Community Center,4,0,0,11/30/2020
Active & Aging - East LR Community Center,10,0,0,11/30/2020
Active & Aging - SW Community Center,29,0,0,11/30/2020
Adopt-A-Flowerbed - Allsopp,1,0,0,11/30/2020
Adopt-A-Flowerbed - Butler,1,0,0,11/30/2020
Adopt-A-Flowerbed - Contemplation Garden,1,48,983.52,11/30/2020
Adopt-A-Flowerbed - Curran Hall,1,40.75,834.9675,11/30/2020
Adopt-A-Flowerbed - Historic AR Museum,1,76.5,"1,567.485",11/30/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,1.5,30.735,11/30/2020
Adopt-A-Flowerbed - Lynn Wilson Memorial,1,7,143.43,11/30/2020
Adopt-A-Flowerbed - Rebsamen Tennis Center,1,0,0,11/30/2020
Adopt-A-Flowerbed - WM Gateway,1,26.25,537.8625,11/30/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,11/30/2020
Adopt-A-Park - Allsopp,1,1,20.49,11/30/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,2,40.98,11/30/2020
Adopt-A-Park - Allsopp (Walnut St.),1,0,0,11/30/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,11/30/2020
Adopt-A-Park - Allsopp North,1,0,0,11/30/2020
Adopt-A-Park - Allsopp Promenade,1,27,553.23,11/30/2020
Adopt-A-Park - Benny Craig,1,0,0,11/30/2020
Adopt-A-Park - Butler,1,0,0,11/30/2020
Adopt-A-Park - Kanis,1,0,0,11/30/2020
Adopt-A-Park - Knoop,3,52,"1,065.48",11/30/2020
Adopt-A-Park - Moorehart,1,0,0,11/30/2020
Adopt-A-Park - Reservoir,1,4,81.96,11/30/2020
Adopt-A-Park - Two Rivers,1,3,61.47,11/30/2020
Adopt-A-Park - Wakefield Park,1,0,0,11/30/2020
Adopt-A-Park - Western Hills,9,504,"10,326.96",11/30/2020
Adopt-A-Park- Boyle,1,12,245.88,11/30/2020
Adopt-A-Park-Prospect Terrace,1,11.5,235.635,11/30/2020
Adopt-A-Park-War Memorial,1,0,0,11/30/2020
Adopt-A-Trail - Allsopp Park,1,0,0,11/30/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,11/30/2020
Adopt-A-Trail - Conner park,1,0,0,11/30/2020
Adopt-A-Trail - Reservoir,1,0,0,11/30/2020
Adopt-A-Trail - Rock Creek,1,0,0,11/30/2020
Department of Corrections - Wrightsville Unit,1,0,0,11/30/2020
Dunbar Community Center,9,0,0,11/30/2020
Dunbar Community Garden,1,0,0,11/30/2020
Eagle Scout,0,0,0,11/30/2020
First Tee Golf Course,14,253,"5,183.97",11/30/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,11/30/2020
Landscape Division,2,0,0,11/30/2020
Little Rock Marathon,1,399,"8,175.51",11/30/2020
Little Rock Marathon - Creep and Crawl,1,0,0,11/30/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,11/30/2020
MacArthur Commissioners,35,28,573.72,11/30/2020
MacArthur Museum of Arkansas Military History,0,0,0,11/30/2020
MacPark Group,18,8,163.92,11/30/2020
Murray Dog Park,2,0,0,11/30/2020
National Public Lands Day at Morehart Park,20,0,0,11/30/2020
Park Commissioners,11,0,0,11/30/2020
Park or Trail Clean-up,31,36,737.64,11/30/2020
Rebsamen Golf Course,12,150.5,"3,083.745",11/30/2020
Southwest Community Center,17,0,0,11/30/2020
Stephens Community Center,15,0,0,11/30/2020
The Centre at University Park,1,0,0,11/30/2020
Therapeutic Recreation,1,0,0,11/30/2020
Volunteer Park Ranger,15,179,"3,667.71",11/30/2020
West Central Community Center,0,0,0,11/30/2020
First Tee Golf Course,14,0,0,06/30/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,06/30/2020
Landscape Division,2,0,0,06/30/2020
Little Rock Marathon,1,20,409.8,06/30/2020
Little Rock Marathon - Creep and Crawl,1,0,0,06/30/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,06/30/2020
MacArthur Commissioners,35,0,0,06/30/2020
MacArthur Museum of Arkansas Military History,0,0,0,06/30/2020
MacPark Group,18,15,307.35,06/30/2020
Murray Dog Park,2,0,0,06/30/2020
Park Commissioners,11,0,0,06/30/2020
Park or Trail Clean-up,27,104.25,"2,136.08",06/30/2020
Rebsamen Golf Course,11,0,0,06/30/2020
Southwest Community Center,17,0,0,06/30/2020
Stephens Community Center,15,0,0,06/30/2020
The Centre at University Park,1,0,0,06/30/2020
Therapeutic Recreation,1,0,0,06/30/2020
Volunteer Park Ranger,13,223,"4,569.27",06/30/2020
West Central Community Center,0,0,0,06/30/2020
Active & Aging - Dunbar Community Center,4,0,0,
Active & Aging - East LR Community Center,10,0,0,07/31/2020
Active & Aging - SW Community Center,29,0,0,07/31/2020
Adopt-A-Flowerbed - Allsopp,1,2.5,51.225,07/31/2020
Adopt-A-Flowerbed - Butler,1,0,0,07/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,8.5,174.165,07/31/2020
Adopt-A-Flowerbed - Curran Hall,1,40,819.6,07/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,72.5,"1,485.525",07/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,4.5,92.205,07/31/2020
Adopt-A-Flowerbed - WM Gateway,1,0,0,07/31/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,07/31/2020
Adopt-A-Park - Allsopp,1,1,20.49,07/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,3,61.47,07/31/2020
Adopt-A-Park - Allsopp (Walnut St.),1,2,40.98,07/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,07/31/2020
West Central Community Center,0,0,0,07/31/2020
Active & Aging - Dunbar Community Center,4,0,0,08/31/2020
Active & Aging - East LR Community Center,10,0,0,08/31/2020
Active & Aging - SW Community Center,29,0,0,08/31/2020
Adopt-A-Flowerbed - Allsopp,1,2.5,51.225,08/31/2020
Adopt-A-Flowerbed - Butler,1,0,0,08/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,12,245.88,08/31/2020
Adopt-A-Flowerbed - Curran Hall,1,50,"1,024.5",08/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,34,696.66,08/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,2.5,51.225,08/31/2020
Adopt-A-Flowerbed - WM Gateway,1,5.25,107.5725,08/31/2020
Adopt-A-Flowerbed- Rose Creek Plaza,1,0,0,08/31/2020
Adopt-A-Park - Allsopp,1,1,20.49,08/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,3,61.47,08/31/2020
Adopt-A-Park - Allsopp (Walnut St.),1,4,81.96,08/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,08/31/2020
Adopt-A-Park - Allsopp North,1,0,0,08/31/2020
Adopt-A-Park - Allsopp Promenade,1,2.5,51.225,08/31/2020
Adopt-A-Park - Benny Craig,1,0,0,08/31/2020
Adopt-A-Park - Butler,1,4,81.96,08/31/2020
Adopt-A-Park - Kanis,1,1,20.49,08/31/2020
Adopt-A-Park - Knoop,3,85,"1,741.65",08/31/2020
Adopt-A-Park - Moorehart,1,0,0,08/31/2020
Adopt-A-Park - Reservoir,1,4,81.96,08/31/2020
Adopt-A-Park - Two Rivers,1,3,61.47,08/31/2020
Adopt-A-Park - Wakefield Park,1,0,0,08/31/2020
Adopt-A-Park - Western Hills,9,562,"11,515.38",08/31/2020
Adopt-A-Park- Boyle,1,0,0,08/31/2020
Adopt-A-Park-War Memorial,1,0,0,08/31/2020
Adopt-A-Trail - Allsopp Park,1,12,245.88,08/31/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,08/31/2020
Adopt-A-Trail - Conner park,1,0,0,08/31/2020
Adopt-A-Trail - Reservoir,1,0,0,08/31/2020
Adopt-A-Trail - Rock Creek,1,6,122.94,08/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,08/31/2020
Dunbar Community Center,9,0,0,08/31/2020
Dunbar Community Garden,1,0,0,08/31/2020
Eagle Scout,0,0,0,08/31/2020
First Tee Golf Course,14,132,"2,704.68",08/31/2020
Jim Dailey Fitness and Aquatic Center,1,0,0,08/31/2020
Landscape Division,2,0,0,08/31/2020
Little Rock Marathon,1,180,"3,688.2",08/31/2020
Little Rock Marathon - Creep and Crawl,1,0,0,08/31/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,08/31/2020
MacArthur Commissioners,35,0,0,08/31/2020
MacArthur Museum of Arkansas Military History,0,0,0,08/31/2020
MacPark Group,18,28,573.72,08/31/2020
Murray Dog Park,2,0,0,08/31/2020
Park Commissioners,11,0,0,08/31/2020
Park or Trail Clean-up,27,87,"1,782.63",08/31/2020
Rebsamen Golf Course,12,147.75,"3,027.3975",08/31/2020
Southwest Community Center,17,0,0,08/31/2020
Stephens Community Center,15,0,0,08/31/2020
The Centre at University Park,1,0,0,08/31/2020
Therapeutic Recreation,1,0,0,08/31/2020
Volunteer Park Ranger,15,190.5,"3,903.345",08/31/2020
West Central Community Center,0,0,0,08/31/2020
Active & Aging - Dunbar Community Center,4,0,0,03/31/2020
Active & Aging - East LR Community Center,10,0,0,03/31/2020
Active & Aging - SW Community Center,29,0,0,03/31/2020
Adopt-A-Flowerbed - Allsopp,1,0,0,03/31/2020
Adopt-A-Flowerbed - Butler,1,0,0,03/31/2020
Adopt-A-Flowerbed - Contemplation Garden,1,16.75,343.2075,03/31/2020
Adopt-A-Flowerbed - Curran Hall,1,49.25,"1,009.1325",03/31/2020
Adopt-A-Flowerbed - Historic AR Museum,1,82,"1,680.18",03/31/2020
Adopt-A-Flowerbed - Jim Dailey Fitness and Aquatic Center,3,1.75,35.8575,03/31/2020
Adopt-A-Flowerbed - WM Gateway,1,15,307.35,03/31/2020
Adopt-A-Park - Allsopp (Fairview Rd.),1,2,40.98,03/31/2020
Adopt-A-Park - Allsopp (Walnut St.),1,0,0,03/31/2020
Adopt-A-Park - Allsopp Moss Garden,1,0,0,03/31/2020
Adopt-A-Park - Allsopp North,1,0,0,03/31/2020
Adopt-A-Park - Allsopp Promenade,1,0,0,03/31/2020
Adopt-A-Park - Butler,1,0,0,03/31/2020
Adopt-A-Park - Moorehart,1,0,0,03/31/2020
Adopt-A-Park - Reservoir,1,0,0,03/31/2020
Adopt-A-Park - Two Rivers,1,0,0,03/31/2020
Adopt-A-Park - Wakefield Park,5,12,245.88,03/31/2020
Adopt-A-Trail - Allsopp Park,1,0,0,03/31/2020
Adopt-A-Trail - Allsopp Park North,1,0,0,03/31/2020
Adopt-A-Trail - Rock Creek,1,4,81.96,03/31/2020
Department of Corrections - Wrightsville Unit,1,0,0,03/31/2020
Dunbar Community Center,9,0,0,03/31/2020
Dunbar Community Garden,1,192,"3,934.08",03/31/2020
Eagle Scout,0,0,0,03/31/2020
First Tee Golf Course,14,0,0,03/31/2020
Landscape Division,2,0,0,03/31/2020
Little Rock Marathon,1,"4,515","92,512.35",03/31/2020
Little Rock Marathon - Creep and Crawl,1,0,0,03/31/2020
Little Rock Marathon - Ugly Sweater Race,1,0,0,03/31/2020
MacArthur Park Commissioners,34,0,0,03/31/2020
